[BANK 80]
8000 - 8001: ; sram_check_disable.asm
81B1 - 81B4: ; map_progress_maintain.asm
81C0 - 81D3: ; Area Palettes.asm
8340 - 8347: ; self_check.asm
834B - 834D: ; stats.asm
835D - 835F: ; stats.asm
8438 - 844A: ; self_check.asm
8455 - 8458: ; stats.asm
84B3 - 84B7: ; stats.asm
858F - 8591: ; map_area.asm
85A7 - 85A9: ; map_area.asm
85C9 - 85CB: ; map_area.asm
85E6 - 85E8: ; map_area.asm
875D - 875E: ; stats.asm
8F27 - 8F29: ; msu1.asm
8FA3 - 8FBE: ; stats.asm
9416 - 944D: ; samus_tiles_optim_animated_tiles_fix.asm
9589 - 958B: ; stats.asm
95A1 - 95A3: ; samus_tiles_optim_animated_tiles_fix.asm
95A7 - 95A9: ; decompression.asm
95E5 - 95F8: ; stats.asm
9602 - 9606: ; stats.asm
9632 - 9638: ; hud_expansion_opaque.asm
9661 - 9665: ; hud_expansion_opaque.asm
9668 - 966A: ; reserve_hud.asm
9698 - 9699: ; disableable_etanks.asm
96A5 - 96A7: ; decompression.asm
96CF - 96D1: ; decompression.asm
96ED - 96EF: ; decompression.asm
9713 - 9715: ; decompression.asm
972F - 9731: ; decompression.asm
9754 - 9756: ; decompression.asm
976D - 976F: ; decompression.asm
978E - 9790: ; hud_expansion_opaque.asm
97B4 - 97B6: ; decompression.asm
97D6 - 97D8: ; decompression.asm
980A - 980C: ; hud_expansion_opaque.asm
981D - 981F: ; decompression.asm
9876 - 9878: ; decompression.asm
9883 - 9885: ; decompression.asm
988B - 99A2: ; map_area.asm
99E1 - 99F5: ; max_ammo_display_fast.asm
9AA3 - 9AAE: ; hud_expansion_opaque.asm
9AC9 - 9AD6: ; max_ammo_display_fast.asm
9AF0 - 9AF2: ; reserve_hud.asm
9B1A - 9B1C: ; max_ammo_display_fast.asm
9B28 - 9B2A: ; max_ammo_display_fast.asm
9B4E - 9B53: ; reserve_hud.asm
9BDC - 9BDE: ; map_area.asm
9BEE - 9BF0: ; disableable_etanks.asm
9C00 - 9C02: ; max_ammo_display_fast.asm
9CAD - 9CB6: ; hud_expansion_opaque.asm
9CC1 - 9CC3: ; hud_expansion_opaque.asm
9DBF - 9DE6: ; hud_expansion_opaque.asm, map_area.asm
9E20 - 9E22: ; escape.asm
A088 - A08D: ; fast_reload.asm
A095 - A098: ; fast_reload.asm
A0CE - A0D1: ; fast_reload.asm
A0D5 - A0D8: ; samus_tiles_optim_animated_tiles_fix.asm
A0ED - A0EF: ; hud_expansion_opaque.asm
A113 - A116: ; fast_reload.asm
A15B - A15E: ; decompression.asm
A15F - A162: ; map_area.asm
A214 - A216: ; hud_expansion_opaque.asm
A27A - A27C: ; vanilla_camerafixes.asm
A29C - A2DF: ; Area Palettes.asm
AD4E - AD50: ; fix_horiz_doors.asm
AD61 - AD63: ; load_plms_early.asm
AD78 - AD7A: ; fix_horiz_doors.asm
AD8B - AD8D: ; load_plms_early.asm
ADB5 - ADB7: ; load_plms_early.asm
ADE8 - ADEA: ; load_plms_early.asm
AE29 - AE2B: ; vanilla_camerafixes.asm
AE5C - AE5E: ; fast_doors.asm
AEA2 - AEA4: ; fix_horiz_doors.asm
AEE6 - AEE8: ; fix_horiz_doors.asm
B0FF - B394: ; decompression.asm
B437 - BE17: ; self_check.asm
C45E - C460: ; fast_reload.asm
C461 - C463: ; load_flash_suit.asm
C467 - C469: ; load_blue_suit.asm
C473 - C475: ; vanilla_camerafixes.asm
C47C - C47E: ; vanilla_camerafixes.asm
C4E1 - C4EE: ; new_game.asm
CA4B - CA58: ; escape_autosave.asm
FFD8 - FFD8: ; map_progress_maintain.asm

[BANK 81]
8000 - 8002: ; saveload.asm
8085 - 8087: ; saveload.asm
8E34 - 8E36: ; hud_expansion_opaque.asm
911E - 9120: ; no_map_select.asm
9A47 - 9A4A: ; saveload.asm
9A52 - 9A55: ; saveload.asm
9A61 - 9A63: ; saveload.asm
9AE8 - 9AEA: ; saveload.asm
9CAE - 9CB1: ; saveload.asm
9CBE - 9CC0: ; saveload.asm
9D14 - 9D16: ; saveload.asm
A7AE - A7B0: ; hud_expansion_opaque.asm
B14B - B2CA: ; hud_expansion_opaque.asm
B35D - B365: ; enable_moonwalk.asm

[BANK 82]
801D - 8020: ; new_game.asm
8067 - 806A: ; new_game.asm
806E - 8073: ; map_area.asm
8078 - 807B: ; item_dots_disappear.asm
81A7 - 81A8: ; stats.asm
8215 - 8217: ; disableable_etanks.asm
895A - 8962: ; samus_tiles_optim_animated_tiles_fix.asm
897A - 897D: ; fast_reload.asm
8B3F - 8B42: ; crash_handle_autoreserves.asm
8BAF - 8BB2: ; oob_death.asm
8D2C - 8D2E: ; alternate_door_colors.asm
8D32 - 8D34: ; fast_pause_menu.asm
8D44 - 8D46: ; map_area.asm
8D4B - 8D4D: ; reserve_hud.asm
8E75 - 8ECF: ; map_area.asm
8ED1 - 8ED2: ; hud_expansion_opaque.asm
8FB6 - 8FB8: ; hud_expansion_opaque.asm
8FC1 - 8FC3: ; hud_expansion_opaque.asm
8FCB - 8FCD: ; hud_expansion_opaque.asm
903B - 903D: ; map_area.asm
90C8 - 90CA: ; map_area.asm
90CF - 90D2: ; fast_pause_menu.asm
910A - 910C: ; map_area.asm, pause_menu_objectives.asm
9125 - 9127: ; map_area.asm
9130 - 9132: ; map_area.asm
915A - 915C: ; map_area.asm
916A - 916D: ; fast_pause_menu.asm
918F - 9192: ; fast_pause_menu.asm
91A1 - 91A6: ; pause_menu_objectives.asm
91B1 - 91B3: ; map_area.asm
91B4 - 91B7: ; disableable_etanks.asm
91B8 - 91BD: ; reserve_backward_fill.asm
91CA - 91CC: ; disableable_etanks.asm
91CD - 91CF: ; fast_pause_menu.asm
91D3 - 91D6: ; pause_menu_objectives.asm
91ED - 91EF: ; disableable_etanks.asm
91F0 - 91F2: ; fast_pause_menu.asm
91F9 - 91FB: ; map_area.asm
9200 - 9202: ; map_area.asm
9211 - 9214: ; fast_pause_menu.asm
923D - 9240: ; fast_pause_menu.asm
925D - 92C9: ; fast_pause_menu.asm
932B - 9331: ; pause_menu_objectives.asm
932E - 9331: ; fast_pause_menu.asm
935B - 935D: ; map_area.asm
936D - 936F: ; disableable_etanks.asm
9370 - 9373: ; item_dots_disappear.asm
9392 - 9395: ; samus_tiles_optim_animated_tiles_fix.asm
939C - 939E: ; reserve_hud.asm
93BB - 93BD: ; crash_handle_springball.asm
93E5 - 93F0: ; special_door_reveal.asm
941B - 941D: ; map_area.asm
943D - 9459: ; map_progress_maintain.asm
9440 - 9442: ; map_area.asm
945C - 945E: ; item_dots_disappear.asm
945C - 94E8: ; map_progress_maintain.asm
9475 - 9477: ; map_area.asm
952D - 952F: ; map_area.asm
9562 - 9564: ; map_area.asm
9580 - 9582: ; hud_expansion_opaque.asm
962B - 962D: ; map_area.asm
966F - 9716: ; hud_expansion_opaque.asm
